Timestamp,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Chord
0.0,0.198482,0.0,0.0,0.635556,0.741292,1.0043,0.81444,0.0292819,0.141189,0.80793,0.91015,0.823603,N
0.046439909,0.310882,0.0,0.0,0.693876,0.628553,1.08004,0.676368,0.0175979,0.140079,0.927873,0.663851,0.460197,N
0.092879818,0.404969,0.0,0.0372381,0.68277,0.59114,1.14683,0.575229,0.0146243,0.128743,0.968012,0.461634,0.260265,N
0.139319727,0.480218,0.0,0.00500218,0.435639,0.450297,1.21112,0.458671,0.00637153,0.102629,0.962884,0.301896,0.257244,N
0.185759637,0.539064,0.146614,0.0108908,0.444361,0.196939,1.29815,0.239054,0.0233052,0.20809,0.948395,0.0258015,0.341731,N
0.232199546,0.165807,0.0,0.455848,0.965423,0.0,1.23244,0.0,0.0548296,0.0342342,0.866962,0.0,0.384071,N
0.278639455,0.0,0.0942627,0.576515,1.96129,0.0,0.766963,0.0,0.0463615,0.397669,0.68296,0.0,0.770187,N
0.325079365,0.00173979,0.0211263,0.335464,2.5958,0.0,0.0,0.0,0.340361,0.0890937,0.528319,0.383412,0.871471,N
0.371519274,0.0,0.0,0.0,2.82216,0.0,0.0,0.0,0.601873,0.221148,0.532542,0.387659,0.834525,N
0.417959183,0.494383,0.0165064,0.102202,2.83751,0.0,0.0,0.0,0.526568,0.182221,0.774787,0.0682741,0.367045,N
0.464399092,0.74965,0.0,0.528877,1.90946,0.0300981,0.230223,0.0,0.577292,0.791432,0.155422,1.26073,0.134251,N
0.510839002,0.716843,0.0,0.159668,0.872912,0.473908,0.830175,0.0,0.0927784,1.07167,0.812758,0.668121,0.20944,N
0.557278911,0.0,0.0,0.0690638,0.876737,0.658069,0.89061,0.00421169,0.181726,1.03807,0.980808,0.261454,0.0160103,N
0.60371882,0.0,0.337967,0.28487,0.753579,0.388396,0.949991,0.012689,0.29578,0.605254,0.93936,0.0,0.0141713,N
0.65015873,0.662928,0.25788,0.177297,0.606255,0.0193467,0.765148,0.0,1.04422,0.265543,0.947467,0.0,0.0229514,N
0.696598639,0.0,0.538675,0.148183,0.550185,0.0,0.325227,0.0,2.57217,0.0,0.844077,0.0,0.00414385,N
0.743038548,0.0,0.0,0.346247,0.261832,0.0263668,0.0,0.226057,2.70928,0.0,0.033437,0.00304462,0.000582269,N
0.789478458,0.0,0.0,0.421916,0.15436,0.0,0.0,0.327427,2.61976,0.0,0.0,0.0,0.0,N
0.835918367,0.0,0.0,0.337337,0.201538,0.0,0.0,0.621904,2.41084,0.0,0.0,0.0,0.092256,N
0.882358276,0.0,0.0,0.220239,0.243328,0.0,0.0192882,1.27107,1.82729,0.0,0.0,0.0,0.103683,N
0.928798185,0.0114085,0.519015,0.184626,0.444217,0.0,0.744951,1.36793,0.669946,0.0,0.0,0.00760801,0.410585,N
0.975238095,0.0,0.0,0.0,0.763629,0.0,1.32993,0.212253,0.0657694,0.0,0.0922659,1.67002,0.485208,N
1.021678004,0.0,0.0,0.0755255,0.737204,0.031761,1.29339,0.144371,0.0137726,0.0,0.00974714,2.02256,0.25978,N
1.068117913,0.0,0.0,0.0824312,0.71738,0.223282,1.24031,0.139016,0.0214467,0.0,0.00955562,2.21846,0.0259841,N
1.114557823,0.0,0.0,0.0747918,0.676218,0.254485,1.22369,0.0359532,0.0156802,0.0,0.0,2.39576,0.0,N
1.160997732,0.0,0.0,0.0523214,0.680199,0.197097,1.04097,0.0,0.0310633,0.0,0.0214236,2.4076,0.0,N
1.207437641,0.0,0.0,0.0564006,0.606799,0.0,0.0887918,0.0,0.0285862,0.0,0.354181,2.254,0.0,N
1.253877551,0.0,0.0,0.0219724,0.587417,0.0,0.10287,0.0,0.0394854,0.0,0.636709,1.9662,0.0,N
